Pathogen_Genus,nitrate_reduction_dissimilatory_NO3toNH4
Paracoccus,1
Thiobacillus,1
Nitrobacter,1
Pseudomonas,1
Arcobacter,1
Azoarcus,1
Azospirillum,1
Bradyrhizobium,1
Magnetospirillum,1
Rhodobacter,1
Achromobacter,1
Acidovorax,1
Alcaligenes,1
Aquaspirillum,1
Aquifex,1
Aquitalea,1
Bacillus,1
Brachymonas,1
Comamonas,1
Costertonia,1
Dechloromonas,1
Dechlorosoma,1
Denitratisoma,1
Desulfococcus,1
Desulfosarcina,1
Dinoroseobacter,1
Ferrimonas,1
Flavobacterium,1
Geobacillus,1
Georgfuchsia,1
Halothermothrix,1
Herminiimonas,1
Hydrogenophaga,1
Hyphomonas,1
Iamia,1
Marinobacter,1
Micrococcus,1
Microvirgula,1
Nisaea,1
Nitratifractor,1
Nitratiruptor,1
Nocardioides,1
Pannonibacter,1
Persephonella,1
Propionibacterium,1
Pseudovibrio,1
Psychromonas,1
Rhodobium,1
Rhodoplanes,1
Rubrimonas,1
Ruegeria,1
Rugamonas,1
Shewanella,1
Snuella,1
Steroidobacter,1
Sulfuricella,1
Sulfurihydrogenibium,1
Sulfurimonas,1
Thauera,1
Thiohalomonas,1
Thiomicrospira,1
Vogesella,1
Zobellella,1
Zoogloea,1
Zunongwangia,1
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,1
Azospira,1
Clostridium,1
Desulfitobacterium,1
Enterobacter,1
Herbaspirillum,1
Moorella,1
Paenibacillus,1
Rhodoferax,1
Rhodopseudomonas,1
Acidilobus,1
Acinetobacter,1
Aeromonas,1
Aeropyrum,1
Alicycliphilus,1
Alishewanella,1
Ammonifex,1
Anaeromyxobacter,1
ANME-2c_ge,1
Anoxybacillus,1
Aquabacterium,1
Aquamicrobium,1
Ardenticatena,1
Arhodomonas,1
Arthrobacter,1
Bilophila,1
Brucella,1
Caldisphaera,1
Calditerrivibrio,1
Caldithrix,1
Caldivirga,1
Caminibacter,1
Campylobacter,1
Candidatus_Methanoperedens,1
Carboxydothermus,1
Celeribacter,1
Chrysiogenes,1
Citrobacter,1
Deferribacter,1
Denitrobacterium,1
Denitrovibrio,1
Desulfobacterium,1
Desulfobulbus,1
Desulforhopalus,1
Desulfosporosinus,1
Desulfotomaculum,1
Desulfovibrio,1
Desulfurispirillum,1
Desulfurobacterium,1
Desulfurococcus,1
Desulfuromusa,1
Diaphorobacter,1
Escherichia-Shigella,1
Ferribacterium,1
Ferroglobus,1
Ferrovibrio,1
Garciella,1
Gemmobacter,1
Geoalkalibacter,1
Geobacter,1
Geothermobacter,1
Geothrix,1
Geovibrio,1
Gillisia,1
Gracilibacillus,1
Haloarcula,1
Halobacterium,1
Halogeometricum,1
Halothiobacillus,1
Hydrogenophilus,1
Ideonella,1
Ignicoccus,1
Ignisphaera,1
Intrasporangium,1
Klebsiella,1
Lactobacillus,1
Microbacterium,1
Microlunatus,1
Micropruina,1
Mizugakiibacter,1
Natranaerobius,1
Nautilia,1
Oceanithermus,1
Ottowia,1
Pasteurella,1
Pectobacterium,1
Petrimonas,1
Phaeobacter,1
Proteus,1
Pyrobaculum,1
Pyrodictium,1
Ralstonia,1
Rhabdothermus,1
Rhizomicrobium,1
Schlesneria,1
Serratia,1
Skermania,1
Slackia,1
Staphylothermus,1
Starkeya,1
Stenotrophomonas,1
Streptomyces,1
Sulfophobococcus,1
Sulfuriferula,1
Sulfuritalea,1
Sulfurospirillum,1
Sulfurovum,1
SUP05_cluster,1
Tateyamaria,1
Tepidibacillus,1
Thalassospira,1
Thermanaeromonas,1
Thermocladium,1
Thermodesulfobium,1
Thermodesulfovibrio,1
Thermogladius,1
Thermoproteus,1
Thermosphaera,1
Thermovenabulum,1
Thermovibrio,1
Thioalbus,1
Thioalkalivibrio,1
Thiolapillus,1
Thiomargarita,1
Thioploca,1
Thioprofundum,1
Thioreductor,1
Virgibacillus,1
Vulcanisaeta,1
Vulcanithermus,1
Wolinella,1
